,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Egypt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7,-15.5,-16.6,-16.6,-17.7,-18.3,-13.0,-8.6,-6.2,-1.6,0.6,6.7,9.5,7.5
Nigeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-5.4,-8.7,-7.8,-11.3,-13.1,-13.2,-16.7,-23.5,-23.5,-14.8,-21.7,-23.4,-25.8,-21.9,-24.9,-25.4,-23.2,-26.7
South Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.2,1.4,2.4,2.8,2.5,3.2,3.3,3.8,3.8,3.6,4.0,4.0,4.1
Middle-East,-5.1,-6.1,-3.8,-3.4,-4.4,-7.0,-7.2,-10.0,-9.6,-15.5,-21.9,-26.8,-30.1,-33.4,-38.0,-45.1,-48.6,-50.2,-52.3,-60.7,-90.4,-100.9,-109.2,-124.8,-115.5,-107.9,-106.8,-112.0
Iran,-1.9,-2.6,-0.4,0.0,-0.1,0.0,0.0,0.4,1.9,2.1,3.3,4.2,4.0,2.3,2.3,0.4,0.5,0.5,2.4,-1.0,0.5,2.3,-4.6,-3.9,-2.2,-0.5,-2.2,-9.4
Kuwait,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2.8,3.5,2.7,2.2,3.3,4.0,4.5,5.0
Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Arab Emirates,-3.2,-3.5,-3.4,-3.4,-4.2,-6.5,-6.7,-7.3,-6.6,-6.6,-7.0,-7.1,-7.0,-6.9,-5.4,-5.7,-5.7,-0.8,9.5,10.5,9.5,10.6,11.8,12.7,11.9,10.6,10.7,9.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
